customer_unique_id,payment_type,total_payment_installments,total_payment_value,geolocation_lat,geolocation_lng,total_payment_sequential
06c89a84709896ed4e9cb838a4a84bc1,boleto,1.0,40.77,-16.7028,-49.0934,1.0
06caeba6db23a17bf9bcb3846b768387,credit_card,3.0,162.15,-23.5574,-46.675,1.0
06cc6c8978803b38a4ea38013f53ea6b,boleto,1.0,121.87,-23.6328,-46.7357,1.0
06d1978fe33d7a00904c2145feb94fe9,credit_card,2.0,151.02,-24.6221,-53.3224,1.0
06d80c56f0963ba775b0fd784bd01026,credit_card,1.0,61.29,-23.6487,-46.4363,1.0
06dea25f72464d360d2ae75b42fa492a,boleto,1.0,216.15,-16.3266,-48.9416,1.0
06e5b19a892adcc1764e70024306e84a,credit_card,6.0,70.78,-23.5761,-46.5326,1.0
06e8cfa2a8fa7e52a62f8970657cd12b,boleto,1.0,43.27,-23.6424,-46.5608,1.0
06ef40d6e048bc6ca4c8b6f2190227e1,credit_card,1.0,256.0,-19.9246,-43.9461,1.0
06fc7aa92ce0d23156bd3cf65bd0d7eb,boleto,1.0,201.98,-23.1663,-47.7467,1.0
0718783ceb0b41b99edd61bcba3afc70,boleto,1.0,131.35,-28.4871,-49.0092,1.0
071befa81cac87390204c03e41e41227,credit_card,1.0,59.28,-23.5377,-46.6681,1.0
071cabf48b9a52a0138a68d3600c3cf5,credit_card,4.0,117.46,-24.1827,-46.8018,1.0
071d97c65d17dd64aeb08dd196aa0c26,boleto,1.0,76.78,-23.5437,-46.5282,1.0
07250301b3c54037a8b207c75e66e49d,credit_card,1.0,72.98,-23.6991,-46.5422,1.0
0728106bcd50b527bd5f6e9412fac0f5,credit_card,5.0,727.17,-21.0329,-44.7569,1.0
07395d6e7fd36ef9c2c1c7fc2f0a2bf0,credit_card,1.0,94.12,-15.2509,-40.2442,1.0
0743e4dec399121fb07fe09d38909d44,credit_card,2.0,148.7,-22.2493,-49.9303,1.0
0744ffc2d960f2032b7266279c3ac13b,credit_card,1.0,57.68,-23.4336,-46.5338,1.0
0751ebe1c05ef7a632934adae06c6d4a,credit_card,1.0,94.395,-22.9806,-43.66,1.0
0762d037793f0578e493822df96bf9a3,credit_card,2.0,101.64,-23.454,-46.7319,1.0
076a7de57d17fa26ab625dbe200aafa8,credit_card,1.0,31.91,-19.458,-44.2481,1.0
07716110b84aa77735b7ee2cfde61e5e,credit_card,1.0,37.41,-22.409,-47.5637,1.0
0773c75b1e8a2d0338672615e3283064,credit_card,2.0,76.76,-22.9096,-43.1777,1.0
079ad4f138ec38e726e7d9ac51ae1410,boleto,1.0,1680.25,-7.5315,-46.0431,1.0
079cbc277def58d49176ef72e4f1d1d8,credit_card,9.0,275.52,-23.6235,-46.6883,1.0
07a374b1259eace4d5462531702f3ef1,credit_card,1.0,171.48,-16.6752,-49.233,1.0
07a74ede472d8ec78c26b7a0e21848ee,credit_card,1.0,73.06,-23.489,-46.3574,1.0
07b28cf1d8515d08ccca505e273fffaf,credit_card,10.0,132.45,-23.6349,-46.5648,1.0
07e06867523dbfd3bf0ae7f3a3ed3961,credit_card,10.0,113.61,-23.9956,-48.8851,1.0
07e95270be59267f343a5fe33b4e3e18,credit_card,4.0,234.34,-10.3447,-39.8306,1.0
07f69e8f6c44439c7ec11491c8da9397,boleto,1.0,84.1,-23.6831,-46.5752,1.0
07f73198f5bbc83c1ad9806a7ca28144,credit_card,5.0,71.37,-10.9403,-37.0818,1.0
07ffc0a2aee8f8f50a47b9a4787926d3,boleto,1.0,126.57,-20.0668,-44.3062,1.0
